Log Loss,Power (W),Speed (mm/s),Hatch (mm),Layer (mm),Laser Focus (mm),Seebeck at 77oC (350K) µV/K
0.0,18,500,0.01,0.15,-2,-25.0
0.0,18,500,0.01,0.15,-2,-31.7
0.0,16,500,0.01,0.15,-2,-22.5
0.0,16,500,0.01,0.15,-2,-12.53
0.0,18,500,0.025,0.15,-2,-3.2
0.0,18,500,0.01,0.15,-2,-12.53
0.02674,24,500,0.01,0.15,-2,-21.08
0.02693,14,500,0.01,0.15,-2,-15.0
0.02693,14,500,0.01,0.15,-2,-17.32
0.17435,10,500,0.01,0.15,-2,-3.2
0.20206,22,500,0.01,0.15,-2,-12.53
0.30732,18,700,0.01,0.15,-2,-4.88
0.32296,10,700,0.01,0.15,-2,-12.53
1.42712,30,400,0.02,0.1,-7,64.36
2.68825,18,700,0.025,0.15,-2,39.3
2.94287,16,700,0.0375,0.15,-2,102.0
3.68888,10,700,0.0375,0.15,-2,123.0
3.91202,24,500,0.0375,0.15,-2,28.5
4.82831,20,500,0.01,0.15,-7,35.9
34.53958,22,500,0.025,0.15,-7,86.6
34.53958,18,500,0.01,0.15,-2,9.67
34.53958,14,500,0.025,0.15,-2,19.1
34.53958,18,500,0.025,0.15,-2,27.9
34.53958,30,300,0.01,0.15,-7,11.97
34.53958,16,500,0.01,0.15,-7,59.85
34.53958,22,500,0.025,0.15,-2,4.52
34.53958,22,500,0.0375,0.15,-2,26.19
34.53958,18,500,0.025,0.15,-2,7.3
34.53958,14,700,0.025,0.15,-2,55.7
34.53958,14,700,0.025,0.15,-2,64.9
